ncsClCd,compeUnitName,level
0101020210,해외취업 일반관리,3
0201010101,사업환경 분석,4
0201010102,경영방침 수립,7
0201010103,경영계획 수립,6
0201010104,신규사업 기획,6
0201010105,사업별 투자 관리,5
0201010106,예산 관리,4
0201010107,경영실적 분석,5
0201010108,경영 리스크 관리,6
0201010109,이해관계자 관리,5
0201010202,경영평가관련 정보수집,4
0201010204,경영평가방법 설정,5
0201010205,경영평가도구 개발,5
0201010206,경영평가활동 수행,6
0201010207,경영평가 결과보고,5
0201010208,경영평가 모니터링,5
0201010209,경영평가 사후관리,5
0201010210,경영평가계획 수립,6
0201020103,온라인 PR,4
0201020104,오프라인 PR,4
0201020105,언론 홍보,5
0201020106,조직문화 전파,4
0201020107,사회공헌활동,4
0201020108,위기관리,6
0201020111,PR 환경분석,3
0201020114,PR 환경조사,3
0201020115,PR 전략 수립,5
0201020116,PR 활동 평가,4
0201020205,광고 전략 수립,5
0201020206,광고 제작,4
0201020207,광고 집행 관리,4
0201020208,광고 효과 평가,4
0201020209,브랜드 기획,5
0201020210,브랜드 관리,4
0201020211,브랜드 평가,4
0201030102,신상품 기획,5
0201030106,전략적 제휴,5
0201030108,마케팅 전략 계획 수립,5
0201030109,마케팅 시장 환경 분석,3
0201030116,STP 전략 수립,4
0201030117,마케팅 믹스 전략 수립,4
0201030118,마케팅 성과 관리,5
0201030201,고객관리 계획 수립,5
0201030206,고객 필요정보 제공,3
0201030207,고객관리 성과 평가,5
0201030210,고객 관계 관리,4
0201030211,고객데이터 분석,5
0201030301,통계조사계획,5
0201030302,표본설계,4
0201030303,설문설계,4
0201030304,실사관리,3
0201030305,자료처리,3
0201030308,보고서 작성,5
0201030309,기술통계분석,4
0201030310,회귀분석,5
0201030311,응용 통계분석,6
0201030315,2차 자료 분석,4
0201030316,비즈니스 인텔리전스 지원,7
0201030317,인터뷰 정성조사,5
0201030401,상품구성기획,4
0201030402,상품매입,3
0201030403,매장관리,3
0201030404,판매촉진관리,4
0201030405,판매 인력관리,4
0201030406,고객관리,3
0201030407,상권관리,4
0201030408,유통물류관리,3
0201030409,유통채널관리,5
0201030412,성과관리,5
0201030413,유통정보관리,4
0202010101,사업계획수립,5
0202010102,행사지원관리,5
0202010103,부동산관리,5
0202010104,비품관리,2
0202010105,차량운영관리,3
0202010106,용역관리,4
0202010107,업무지원,3
0202010108,총무문서관리,2
0202010109,복리후생지원,4
0202010110,총무보안관리,4
0202010201,자산관리 목표수립,5
0202010202,자산관리 계획수립,5
0202010203,자산취득,5
0202010205,업무용 동산관리,4
0202010207,자산처분,5
0202010208,자산위탁관리,4
0202010210,자산평가보고,6
0202010211,부동산관리,4
0202010212,시설물안전관리,5
0202010213,자산위험관리,5
0202010301,비상대비업무 사업계획수립,5
0202010302,충무계획수립,5
0202010303,을지연습,5
0202010304,충무훈련,5
0202010305,동원자원관리,3
0202010306,민방위관리,3
0202010307,비상기획 보안관리,4
0202010308,안보위기관리,5
0202010309,재난관리,5
0202020101,인사기획,6
0202020102,직무관리,5
0202020103,인력채용,5
0202020104,인력이동관리,5
0202020105,인사평가,5
0202020106,핵심인재관리,5
0202020107,교육훈련운영,4
0202020108,임금관리,5
0202020109,급여지급,3
0202020110,복리후생관리,4
0202020111,조직문화관리,4
0202020113,인사 아웃소싱,4
0202020114,퇴직업무지원,3
0202020115,전직지원,5
0202020201,노사관계 계획,5
0202020202,노사관계 교육훈련,4
0202020203,단체교섭준비,5
0202020204,단체교섭,6
0202020205,단체협약이행,3
0202020206,노동쟁의 대응,6
0202020207,노사협의회 운영,4
0202020208,위원회 운영,4
0202020209,노사갈등 해결,4
0202020210,노사관계 평가,5
0202030101,경영진 지원업무,2
0202030102,경영환경 동향 분석,4
0202030103,경영진 일정관리,3
0202030104,출장관리,4
0202030105,응대업무,3
0202030106,보고업무,3
0202030107,경영진 문서작성관리,3
0202030108,회의의전관리,4
0202030109,비서 사무정보관리,2
0202030111,경영진 예결산관리,3
0202030114,글로벌 경영사무 지원,4
0202030201,문서작성,3
0202030202,문서관리,2
0202030203,자료 관리,4
0202030206,회의 운영,2
0202030207,사무행정 업무관리,3
0202030208,사무환경조성,2
0202030209,사무자동화 프로그램 활용,3
0202030210,그룹웨어 활용,2
0202030211,경영정보시각화,4
0203010101,예산편성지침 수립,4
0203010102,부문예산 수립,4
0203010103,연간 종합예산 수립,5
0203010104,추정재무제표 작성,3
0203010105,확정 예산 운영,3
0203010106,예산 실적 관리,4
0203010107,예산 위험 관리,6
0203010201,자금계획 수립,6
0203010202,자금조달,5
0203010204,자금운용,4
0203010205,자금정보제공,3
0203010206,재무위험관리,5
0203010207,성과 분석,6
0203020101,전표관리,2
0203020102,자금관리,2
0203020103,원가계산,2
0203020104,결산처리,2
0203020105,회계정보시스템 운용,2
0203020107,회계감사,5
0203020108,사업결합회계,6
0203020109,비영리회계,4
0203020110,원가관리,3
0203020112,재무제표작성,3
0203020201,적격증빙관리,2
0203020204,원천징수,3
0203020205,부가가치세 신고,3
0203020206,종합소득세 신고,4
0203020208,지방세 신고,3
0203020209,기타세무 신고,5
0203020210,세무조사 대응,6
0203020211,조세불복청구,6
0203020212,절세방안 수립,6
0203020213,세무조정 준비,3
0203020214,법인세 신고,5
0204010101,구매 전략 수립,7
0204010102,신규 공급자 발굴,5
0204010103,공급자 육성,5
0204010104,구매 발주관리,3
0204010105,구매품 품질관리,4
0204010106,개발구매,5
0204010107,구매 원가 관리,6
0204010108,구매 원가 절감 실행,5
0204010109,구매 계약,4
0204010110,구매 성과관리,5
0204010111,구매 리스크관리,7
0204010112,공급자 관계관리,6
0204010201,자재관리 전략수립,7
0204010202,자재조달 계획수립,6
0204010203,자재 입고관리,3
0204010204,자재창고 운영관리,4
0204010205,자재 운영관리,4
0204010206,자재 출고관리,3
0204010207,사내물류관리,5
0204010301,생산계획수립,7
0204010302,공정설계,6
0204010303,공정편성,5
0204010304,작업계획수립,5
0204010305,표준작업관리,4
0204010306,공정품질관리,3
0204010307,설비일상관리,3
0204010308,설비보전관리,4
0204010309,공정지표관리,5
0204010310,공정개선,4
0204010311,설비자산관리,5
0204010312,생산정보시스템 운영관리,4
0204010313,외주생산관리,5
0204010314,설비효율관리,5
0204010401,공급망 진단 분석,7
0204010402,공급망 전략 수립,7
0204010403,공급망 수요 계획,5
0204010404,공급망 공급 계획,5
0204010405,공급망 생산 운영,5
0204010406,공급망 조달 운영,5
0204010407,공급망 재고 운영,3
0204010408,공급망 운송 관리,3
0204010409,공급망 성과 관리,5
0204020101,품질전략수립,6
0204020102,품질정보관리,4
0204020103,서비스 품질관리,5
0204020104,사내표준화,4
0204020105,품질코스트관리,6
0204020106,설계품질관리,5
0204020107,공정품질관리,4
0204020108,품질검사관리,4
0204020109,협력사품질관리,4
0204020110,품질보증체계확립,5
0204020111,신뢰성관리,5
0204020112,안전품질관리,6
0204020113,품질경영혁신활동,4
0204020114,지속적개선활동,3
0204020115,현장품질관리,3
0204020116,품질경영시스템 인증관리,5
0204030201,수출입사전준비,2
0204030202,수출입위험관리,3
0204030204,수출입계약,3
0204030205,수출입운송보험,3
0204030208,수출마케팅,3
0204030209,수입마케팅,3
0204030210,수출통관,3
0204030211,수입통관,3
0204030212,수출대금결제,3
0204030213,수입대금결제,3
0204030301,FTA 원산지 활용분석,4
0204030302,FTA 원산지 판정요소관리,4
0204030303,FTA 원산지 판정,5
0204030304,FTA 원산지 증빙서류 발급,2
0204030305,FTA 원산지 인증수출자 인증,3
0204030306,FTA 원산지 수입활용,4
0204030307,FTA 원산지 검증 대응,5
0204030308,FTA 원산지 활용전략수립,6
0204030501,물류 전략기획,6
0204030502,물류 고객관리,4
0204030503,물류거점 네트워크 설계,5
0204030504,재고관리 기획,4
0204030505,운송관리 기획,4
0204030506,보관하역관리 기획,4
0204030507,물류성과관리,5
0204030508,물류정보시스템 활용,3
0204030601,육상운송관리,3
0204030602,해상운송관리,3
0204030603,항공운송관리,3
0204030604,복합운송관리,3
0204030605,국제특송관리,3
0204030606,국내특송관리,3
0204030607,운송플랫폼 활용,5
0204030701,입고관리,3
0204030702,보관관리,3
0204030703,분류관리,3
0204030704,물류포장관리,3
0204030705,물류유통가공,3
0204030706,출고관리,3
0301010102,예금상품 세일즈,3
0301010103,제신고 처리,3
0301010104,출납관리,2
0301010105,외국환거래,3
0301010106,전자금융 서비스,2
0301010107,개인대출 세일즈,3
0301010108,펀드 세일즈,4
0301010109,방카슈랑스 세일즈,4
0301010110,신용카드 세일즈,3
0301010111,부수업무 처리,2
0301010112,금융소비자 보호,3
0301010113,입지급 거래,2
0301010114,예금관리,2
0301010201,가망기업 고객 발굴,6
0301010202,대상기업분석,6
0301010203,고객접촉활동·관계형성,4
0301010204,기업고객 상담,5
0301010205,기업고객니즈 파악·분석,5
0301010206,거래 제안·협상,6
0301010207,거래신청 심사·승인,5
0301010208,거래약정,4
0301010209,기업 거래심화,5
0301010210,기업고객관리,6
0301010301,고객창출,4
0301010302,고객상담,4
0301010303,고객정보수집·분석,4
0301010304,금융자산 투자설계,5
0301010305,비금융자산 상담·자문,5
0301010306,고객제안·실행,5
0301010307,투자 사후관리,5
0301010308,고객관리,4
0301010309,PB컴플라이언스,4
0301010401,개인영업,3
0301010402,기업영업,4
0301010403,제휴영업,4
0301010404,회원마케팅,4
0301010405,가맹점마케팅,4
0301010408,신용리스크관리,4
0301010409,고객상담,3
0301010410,심사관리,3
0301010411,발급관리,3
0301010412,국내 정산관리,3
0301010413,국제 정산관리,3
0301010501,설비금융영업,5
0301010502,자동차 리스영업,4
0301010503,자동차 할부대출영업,2
0301010504,기업여신영업,5
0301010505,여신전문금융 심사,5
0301010506,여신전문금융 회계,4
0301010507,여신전문금융 컴플라이언스,4
0301010508,여신전문금융 사후관리,2
0301010509,여신전문금융 채널관리,3
0301010510,여신전문금융 채권관리,4
0301020101,시장기회 탐색,4
0301020102,여수신상품개발 타당성 검토,5
0301020103,여신상품 기획,6
0301020104,수신상품 기획,6
0301020105,여신상품 설계,6
0301020106,수신상품 설계,6
0301020107,컴플라이언스,5
0301020108,전산개발 지원,3
0301020109,여수신상품 마케팅,4
0301020110,여수신상품 사후관리,3
0301020201,아이디어 수집,3
0301020203,투자수요 분석,4
0301020204,전통상품 설계,5
0301020205,파생내재상품 설계,6
0301020206,대체상품 설계,6
0301020207,투자상품 마케팅 전략수립,5
0301020208,투자상품 출시준비,3
0301020210,투자상품 사후관리,4
0301020211,투자상품 제도분석,5
0301020212,투자 상품성 분석,5
0301020213,투자상품 위험관리,5
0301020214,투자환경 위험관리,5
0301020301,연금시장 분석,5
0301020302,연금관련 제도분석,5
0301020303,연금고객 수요분석,5
0301020304,연금상품 판매인프라 구축,5
0301020305,연금 컨설팅,6
0301020306,연금상품 설계,7
0301020307,연금계리,6
0301020308,연금자산 관리,7
0301020309,연금제도 운영,4
0301020310,연금상품 사후관리,4
0301020401,카드상품 기회발견,3
0301020402,카드상품개발 타당성 검토,4
0301020403,카드상품 설계,5
0301020404,브랜드 기획,6
0301020405,카드상품 구성,5
0301020406,카드상품 마케팅 전략수립,5
0301020407,카드상품 출시준비,4
0301020408,카드상품 출시마케팅,3
0301020409,카드상품 모니터링,4
0301020410,컴플라이언스,6
0301030101,정보수집,3
0301030102,재무정보 분석,3
0301030103,비재무정보 분석,4
0301030104,신용등급의 개발,5
0301030105,신용등급의 운용,5
0301030107,신용정보 집중관리,6
0301030108,개인정보 관리,5
0301030109,개인신용 분석·응용,5
0301030110,외부정보 신용등급 사후관리,5
0301030111,내부정보 신용등급 사후관리,5
0301030112,부실징후 분석,5
0301030201,기업신용분석 관련 정보수집,4
0301030202,산업위험 분석,5
0301030204,재무상태 분석,5
0301030205,경영성과 분석,5
0301030206,현금흐름분석,5
0301030207,사업성검토·기업가치 평가,6
0301030208,기업신용등급 결정,5
0301030209,경영위험 분석,5
0301030210,영업위험 분석,5
0301030301,여신상담,3
0301030302,채무관계인 분석,4
0301030303,자금용도 검토,4
0301030304,상환가능성 평가,6
0301030305,채권 보전 검토,4
0301030306,여신조건 결정,6
0301030307,여신 심사보고서 작성,6
0301030308,여신 실행,3
0301030309,여신사후관리,5
0301030311,문제여신발견,5
0301030312,문제여신회수,5
0301040102,펀드 자산배분,6
0301040103,산업별 개별투자대상 분석,5
0301040104,포트폴리오 운용,6
0301040105,위탁운용사 자문사 관리,5
0301040106,주문실행,3
0301040107,펀드 컴플라이언스,5
0301040108,펀드 리스크관리,5
0301040109,펀드 성과분석,5
0301040110,펀드회계,5
0301040111,펀드 수탁관리,3
0301040112,펀드상품 기획,5
0301040113,펀드등록 관리,4
0301040202,거시경제분석,5
0301040203,산업분석,5
0301040204,계량모형분석,6
0301040205,기업분석,5
0301040206,주식가치평가,5
0301040207,채권가치평가,5
0301040208,주식투자전략 수립,7
0301040209,채권투자전략 수립,7
0301040210,주식·채권 포트폴리오 구성,6
0301040211,주식·채권 리스크 관리,5
0301040212,주식·채권 운용성과 분석,4
0301040213,주식 투자목표 수립,4
0301040214,채권 투자목표 수립,4
0301040301,파생상품 운용목표 수립,7
0301040302,파생상품 운용시스템 개발,6
0301040304,파생상품분석,5
0301040305,파생상품 운용전략 수립,6
0301040306,파생상품 매매실행,6
0301040307,파생상품 매매관리,4
0301040308,파생상품 리스크관리,5
0301040309,파생상품 컴플라이언스,5
0301040310,파생상품 성과평가,7
0301040311,파생상품 시장분석,4
0301040312,파생상품 거래분석,5
0301040401,투자시장 분석,6
0301040402,투자전략 수립,7
0301040403,투자자금 모집,6
0301040404,투자 발굴 실사,7
0301040405,투자실행,7
0301040406,투자자산 관리,6
0301040407,투자회수,7
0301040408,투자 사무관리,4
0301040409,투자 성과평가,5
0301040410,투자 리스크관리,7
0301040502,신탁자산관리 기획,5
0301040503,금전신탁관리,5
0301040504,금전채권신탁관리,5
0301040505,신탁부동산개발,7
0301040506,실물자산 신탁관리,6
0301040507,증권신탁관리,5
0301040508,신탁회계,5
0301040509,신탁리스크관리,5
0301040510,신탁자산 보관결제,4
0301040511,신탁상품 기획,5
0301040512,신탁상품 출시,5
0301050101,결제 기획,6
0301050102,금융거래 확인,3
0301050103,결제방법 결정,4
0301050105,거액 결제,5
0301050106,증권 결제,5
0301050107,외환 결제,4
0301050108,결제 보고,5
0301050109,결제 마감,4
0301050110,결제위험 관리,7
0301050111,소액 결제,3
0301050112,금융공동망 결제,4
0301050201,채권추심 사전관리,4
0301050202,채무자 재산조사,4
0301050203,채무자 부실징후 파악,4
0301050206,채권 회수전략 수립,6
0301050207,채권 회수활동,5
0301050208,채권 보전조치,5
0301050209,추심소송,6
0301050210,강제집행,5
0301050211,채무자 상환능력 분석,5
0301050212,채무자 관련 인적 정보 분석,5
0301050213,담보상태 분석,5
0301050214,담보가치 분석,5
0301050302,리스크 식별,5
0301050303,리스크 평가,6
0301050304,리스크 측정,5
0301050305,자산 건전성 관리,6
0301050306,신용포트폴리오 관리,6
0301050307,적정성 관리,5
0301050308,위기상황 분석,6
0301050309,리스크관리 모니터링,5
0301050310,위험조정성과평가,6
0301050311,리스크관리 기획,6
0301050312,리스크관리 조직운영,5
0301060101,증권거래 고객마케팅,4
0301060102,증권거래 투자상담,5
0301060103,증권거래 조사분석,6
0301060104,국내 증권관리,5
0301060105,해외 증권관리,5
0301060106,금융상품 투자중개,5
0301060107,고객자산 포트폴리오 제공,7
0301060108,증권거래 컴플라이언스,7
0301060109,증권거래업무 지원,5
0301060110,증권 계좌관리,3
0301060201,외환·파생 고객관리,5
0301060202,외국환 확인업무,4
0301060203,외국환 창구업무,4
0301060204,외환·파생 상품설계 제안,6
0301060205,은행간거래 관리,5
0301060206,대고객거래 관리,6
0301060207,외환·파생 리스크관리,7
0301060208,외환·파생 후선업무,4
0301060209,외환·파생 조사분석,5
0301060210,외환·파생 업무지원,6
0301060211,외환·파생 컴플라이언스,7
0301060301,자금조달 제안,7
0301060303,유동화증권 기초자산 검토,6
0301060304,증권신고서 작성 제출,4
0301060305,유동화증권신고서 작성 제출,4
0301060306,주식 가격 결정,6
0301060307,채권 가격 결정,6
0301060308,주식연계증권 가격 결정,6
0301060309,증권발행,2
0301060310,유동화증권 투자자 모집,7
0301060311,인수대상회사 사전 실사,5
0301060312,인수대상회사 본 실사,5
0301060401,상장대상기업 발굴,6
0301060402,상장전략 수립,7
0301060404,상장심사,5
0301060405,증권신고서 작성 제출,4
0301060406,수요예측(Book Building),5
0301060407,공모상장,4
0301060408,SPAC상장,7
0301060409,코넥스상장,6
0301060410,상장폐지,5
0301060411,기업가치평가 사전분석,5
0301060412,공모예정가격 산출,5
0301060501,조달 전략 수립,7
0301060502,조달 프로그램 관리,5
0301060503,투자자 관리,6
0301060504,채권 발행,7
0301060505,신디케이트론 차입,7
0301060506,단기유동성 관리,5
0301060507,조달 사후관리,4
0301060508,여신준비,5
0301060509,여신심사약정,6
0301060510,여신실행 사후관리,4
0301060601,수출신용장 통지,3
0301060602,수출신용장 양도,3
0301060603,신용장방식 수출환어음 매입추심,4
0301060604,무신용장방식 수출환어음 매입추심,4
0301060605,수출대금 사후관리,5
0301060606,수입신용장 개설,4
0301060607,수입선적서류 인수결제,5
0301060608,외화지급보증 개설,6
0301060609,외화지급보증 지급관리,5
0301060610,한국은행 무역금융 취급,6
0302010101,거시 경제 분석,6
0302010102,금융 산업 현황 분석,7
0302010103,보험 소비자 수요 분석,6
0302010104,국내외 보험 시장 현황 분석,4
0302010105,보험 상품 시장성 분석,6
0302010106,상품 개발 전 리스크 분석,7
0302010107,재보험 활용 전략 수립,8
0302010108,보험 상품 마케팅 전략 수립,8
0302010109,보험 상품 개발 제안서 작성,5
0302010110,상품관련 보험회사의 사회적 책임 전략 수립,7
0302010201,보험상품개발 전략 수립,8
0302010202,시장 니즈 분석,6
0302010203,보험 상품 디자인,7
0302010204,보험 위험률 개발,7
0302010205,상품 개발안 설정,8
0302010206,보험 상품 인가,6
0302010207,보험 판매 준비,5
0302010208,상품 모니터링,5
0302010301,보험통계관리,5
0302010302,최적가정 결정,7
0302010303,보험 계약 부채 평가,6
0302010304,손익분석,6
0302010305,회사가치 평가,8
0302010306,지급여력 적정성 관리,7
0302010307,리스크 관리,8
0302010308,계약자배당관리,6
0302010309,계리 경영 관리,8
0302010310,퇴직연금 계리,6
0302010311,재보험 기획 관리,7
0302020101,판매전략 수립,8
0302020102,영업지원 툴(Tool) 개발,5
0302020103,교육 기획,5
0302020104,판매기법 교육,5
0302020105,고객 상담 준비,3
0302020106,고객 상담,3
0302020108,판매 후 사후관리,7
0302020109,모집활동 지원,3
0302020110,청약업무 지원,3
0302020202,신체적 인수위험평가,5
0302020203,환경적 인수위험평가,5
0302020204,재정·도덕적 인수위험평가,5
0302020205,손해보험 인수위험평가,5
0302020206,손해보험 인수조건결정,5
0302020207,심사업무관리,5
0302020208,심사업무지원,5
0302020209,재보험 운영관리,5
0302020210,역선택 방지,5
0302020211,인보험 인수기준 수립,7
0302020212,재물보험 인수기준 수립,7
0302020301,계약보전 전략수립,7
0302020303,계속보험료 입금관리,5
0302020304,계약내용 변경,5
0302020305,계약유지 안내장 관리,5
0302020306,보유고객 정보관리,5
0302020307,통계관리,5
0302020308,세금관리,5
0302020309,보험계약 채권관리,3
0302020310,지급금 기준수립,5
0302020311,지급금 관리,5
0302020401,위험관리 전략수립,8
0302020402,불완전판매예방,3
0302020403,정보보호,8
0302020405,위험처리,5
0302020406,금융사고관리,5
0302020407,평가기준 개선,5
0302020408,위험관리 교육,7
0302020409,재물보험 위험분석,5
0302020410,인보험 위험분석,5
0302030101,사고접수,5
0302030102,계약내용 확인,5
0302030103,현장조사,5
0302030105,보험금 사정,7
0302030106,민원처리,5
0302030107,보험자대위,5
0302030108,재보험,7
0302030109,소송 처리,7
0302030110,재물손해사정 기획관리,7
0302030111,적하·항공보험 손해액 산정,5
0302030112,선박보험 손해액 산정,5
0302030113,특종보험 손해액 산정,5
0302030114,화재보험 손해액 산정,5
0302030201,사고접수,3
0302030202,계약내용 확인,3
0302030204,피해물 관리,5
0302030206,고객안내 서비스,3
0302030207,민원처리,5
0302030208,구상처리,5
0302030209,차량손해사정 기획 관리,7
0302030210,차량사고 현장조사,5
0302030211,기타피해물 현장조사,5
0302030212,차량손해액 산정,5
0302030213,특수차량 손해액 산정,5
0302030214,기타피해물 손해액 산정,5
0302030301,보험사고 접수,3
0302030303,메디칼 심사,5
0302030306,민원처리,5
0302030307,재보험,7
0302030308,소송처리,5
0302030309,구상처리,5
0302030310,신체손해사정 기획관리,7
0302030311,인보험 현장조사,3
0302030312,배상책임 현장조사,3
0302030313,보험금 심사,5
0302030314,보험금 산출,5
0302030315,합의금 산출요소 파악,5
0302030316,합의금 산출 후 지급,5
0402020101,평생교육 상황분석,5
0402020102,평생교육 요구분석,5
0402020103,평생교육 자원조사,5
0402020104,평생교육 프로그램설계,5
0402020105,평생교육 교수학습자료개발,6
0402020109,기관 프로그램 통합관리,6
0402020110,평생교육 프로그램 평가,5
0402020111,평생학습 결과인정,5
0402020201,평생교육프로그램 홍보,5
0402020204,프로그램 현장관리,3
0402020205,평생교육 교수업무 실행,7
0402020206,평생학습설계,5
0402020211,평생교육 인적자원 관리,5
0402020212,학습동아리 운영,5
0402020213,평생교육 조직운영,6
0402020214,평생교육 네트워크 관리,5
0402020215,평생교육 현장실습 관리,5
0402020216,평생교육실무행정,3
0403010101,경력지도 설계,5
0403010102,경력지도 관련정보 수집,3
0403010110,경력지도 매뉴얼 관리,6
0403010111,개인보유역량 분석,5
0403010112,직업요구역량 분석,5
0403010113,경력지도 실행계획 수립,5
0403010114,경력상담,5
0403010115,경력코칭,5
0403010116,리더십개발,5
0403010117,경력지도 결과보고,5
0403010118,경력개발제도 수립,5
0403010119,경력개발제도 실행,5
0403010201,인재개발전략 수립,5
0403010202,교육체계 수립,5
0403010204,교육과정 운영,3
0403010205,교수활동 수행,5
0403010206,교육성과 평가,5
0403010207,교육 사후관리,6
0403010209,교육과정 설계,5
0403010210,교육과정 개발,6
0403010211,교육운영기획,4
0403010212,교육자원관리,3
0403010213,정부지원사업ㆍ제도 활용,3
0403010214,교육ㆍ훈련과정 환급실행관리,3
0403010215,역량모델개발,5
0403010216,학습조직구축,5
0403010304,직무분석 자료 수집,3
0403010305,직무분류체계 설정,6
0403010308,직무분석 결과 정리,3
0403010311,직무분석 결과관리,4
0403010313,직무분석 설계,5
0403010314,직무분석 실행,5
0403020101,학습시스템 기획,6
0403020102,학습시스템 프로젝트 관리,7
0403020104,학습시스템 설계,5
0403020107,학습시스템 테스트,2
0403020108,학습시스템 시범운영,4
0403020109,학습시스템 이전,5
0403020110,학습시스템 유지관리,5
0403020111,학습시스템 환경분석,5
0403020112,학습시스템 기능분석,5
0403020113,학습시스템 DB설계,5
0403020114,학습시스템 아키텍쳐설계,5
0403020115,학습시스템 프레임워크 개발,5
0403020116,학습시스템 단위프로그램 개발,5
0403020117,이러닝 학습분석,3
0403020118,이러닝 표준적용,5
0403020119,학습시스템 특성분석,3
0403020202,콘텐츠 설계전략분석,5
0403020203,학습자 시스템 환경분석,5
0403020204,콘텐츠개발 환경분석,4
0403020206,프로토타입개발,5
0403020209,콘텐츠포팅,3
0403020210,콘텐츠 품질관리,7
0403020212,콘텐츠개발 전략수립,5
0403020213,콘텐츠개발 디자인수립,5
0403020214,그래픽 요소개발,4
0403020215,동영상요소개발,4
0403020216,애니메이션 요소 개발,4
0403020217,프로그래밍 통합개발,5
0403020218,학습지원기능개발,4
0403020219,프로토타입 품질관리,7
0403020220,이러닝콘텐츠의 파악,3
0403020221,이러닝교수설계 특성파악,3
0403020222,콘텐츠개발 통합관리,7
0403020223,교수설계요구분석,5
0403020224,학습목표설계,4
0403020225,학습평가설계,4
0403020226,학습내용설계,4
0403020227,미시설계전략,4
0403020228,상호작용설계,4
0403020229,스토리보드 설계,3
0403020230,UI 기획,5
0403020231,콘텐츠 개발 진행,4
0403020233,콘텐츠개발 사업제안,7
0403020234,콘텐츠 개발 착수관리,6
0403020235,콘텐츠개발 완료관리,6
0403020236,프로토타입 설계,5
0403020237,거시설계전략,5
0403020301,이러닝운영 기획관리,5
0403020302,이러닝운영 준비,3
0403020303,이러닝운영 학사관리,2
0403020304,이러닝운영교강사지원,4
0403020305,이러닝운영 학습활동지원,3
0403020306,이러닝운영 고객사지원,4
0403020307,이러닝운영 평가관리,4
0403020309,이러닝운영 업무협력,4
0403020310,이러닝 산업파악,3
0403020311,이러닝운영 활동관리,4
0403020312,이러닝운영 교육과정관리,4
0403020313,이러닝운영 학습자관리,4
0403020314,이러닝운영 지원도구관리,4
0403020315,이러닝운영 전략관리,6
0403020316,이러닝운영 결과관리,6
0403020317,이러닝운영 통합관리,7
0501020106,지식재산 권리 행사,6
0501020107,지식재산 분쟁 방어,5
0501020108,지식재산 서비스 수행,6
0501020109,지식재산 해외 법무 수행,6
0501020110,지식재산 발굴,5
0501020111,발명서식 검토,2
0501020112,지식재산 권리화,4
0501020113,지식재산 계약관리,5
0501020114,지식재산 계약이행,7
0501020115,지식재산 유지,5
0501020116,지식재산 관리시스템 운영,2
0501020117,지식재산 경영 수행,6
0501020118,지식재산 경영전략 수립,7
0501020119,디자인 도면 작성,2
0501020120,특허 도면 작성,2
0501020121,3D 모델링,2
0501020122,디자인 도면서식 작성,2
0501020123,지식재산 출원서식 작성,2
0501020124,지식재산 등록서식 작성,2
0501020125,지식재산 심판서식 작성,2
0501020126,해외출원 도면작성,2
0501020127,해외출원 서류준비,2
0501020202,지식재산 기술성 평가,6
0501020203,지식재산 권리성 평가,6
0501020204,지식재산 시장성 평가,6
0501020205,지식재산 사업성 평가,6
0501020206,지식재산 평가 결과 도출,6
0501020209,지식재산 거래 조건 협상,6
0501020211,지식재산 평가 기획,4
