분류번호,명칭,수준,시간
0201030106_21v4,전략적 제휴,5,20
0201030108_21v4,마케팅 전략 계획 수립,5,20
0201030109_21v4,마케팅 시장 환경 분석,3,20
0201030116_21v4,STP 전략 수립,4,40
0201030117_21v4,마케팅 믹스 전략 수립,4,40
0201030118_21v4,마케팅 성과 관리,5,50
0201030201_21v3,고객관리 계획 수립,5,20
0201030206_21v3,고객 필요정보 제공,3,16
0201030207_21v3,고객관리 성과 평가,5,20
0201030210_21v4,고객 관계 관리,4,24
0201030211_21v4,고객데이터 분석,5,60
0201030301_18v2,통계조사계획,5,30
0201030302_18v2,표본설계,4,30
0201030303_18v3,설문설계,4,40
0201030304_18v2,실사관리,3,24
0201030305_18v2,자료처리,3,16
0201030308_18v4,보고서 작성,5,16
0201030309_18v3,기술통계분석,4,30
0201030310_18v3,회귀분석,5,40
0201030311_18v3,응용 통계분석,6,16
0201030315_18v2,2차 자료 분석,4,16
0201030316_18v1,비즈니스 인텔리전스 지원,7,45
0201030317_21v4,인터뷰 정성조사,5,24
0201030401_21v2,상품구성기획,4,30
0201030402_21v2,상품매입,3,20
0201030403_21v2,매장관리,3,30
0201030404_21v2,판매촉진관리,4,30
0201030405_21v2,판매 인력관리,4,20
0201030406_21v2,고객관리,3,20
0201030407_21v2,상권관리,4,40
0201030408_21v2,유통물류관리,3,20
0201030409_21v2,유통채널관리,5,40
0201030412_21v2,성과관리,5,30
0201030413_21v2,유통정보관리,4,40
0202010101_19v2,사업계획수립,5,24
0202010102_19v2,행사지원관리,5,16
0202010103_19v2,부동산관리,5,30
0202010104_19v2,비품관리,2,20
0202010105_19v2,차량운영관리,3,20
0202010106_19v2,용역관리,4,24
0202010107_19v2,업무지원,3,16
0202010108_19v2,총무문서관리,2,16
0202010109_19v2,복리후생지원,4,24
0202010110_19v2,총무보안관리,4,30
0202010201_13v1,자산관리 목표수립,5,20
0202010202_13v1,자산관리 계획수립,5,20
0202010203_19v2,자산취득,5,20
0202010205_19v2,업무용 동산관리,4,16
0202010207_19v2,자산처분,5,20
0202010208_19v2,자산위탁관리,4,16
0202010210_13v1,자산평가보고,6,20
0202010211_19v2,부동산관리,4,20
0202010212_19v2,시설물안전관리,5,20
0202010213_19v2,자산위험관리,5,25
0202010301_19v2,비상대비업무 사업계획수립,5,20
0202010302_19v2,충무계획수립,5,20
0202010303_19v2,을지연습,5,20
0202010304_19v2,충무훈련,5,20
0202010305_19v2,동원자원관리,3,30
0202010306_19v2,민방위관리,3,40
0202010307_19v2,비상기획 보안관리,4,30
0202010308_19v2,안보위기관리,5,40
0202010309_19v1,재난관리,5,40
0202020101_23v3,인사기획,6,24
0202020102_23v3,직무관리,5,24
0202020103_23v4,인력채용,5,30
0202020104_23v4,인력이동관리,5,20
0202020105_23v3,인사평가,5,24
0202020106_23v3,핵심인재관리,5,24
0202020107_23v4,교육훈련운영,4,20
0202020108_23v4,임금관리,5,30
0202020109_23v5,급여지급,3,20
0202020110_23v4,복리후생관리,4,20
0202020111_23v3,조직문화관리,4,24
0202020113_23v3,인사 아웃소싱,4,20
0202020114_23v5,퇴직업무지원,3,20
0202020115_19v4,전직지원,5,20
0202020201_19v2,노사관계 계획,5,16
0202020202_19v2,노사관계 교육훈련,4,16
0202020203_23v3,단체교섭준비,5,20
0202020204_19v2,단체교섭,6,24
0202020205_19v2,단체협약이행,3,20
0202020206_19v2,노동쟁의 대응,6,24
0202020207_23v3,노사협의회 운영,4,12
0202020208_23v3,위원회 운영,4,16
0202020209_23v3,노사갈등 해결,4,16
0202020210_19v2,노사관계 평가,5,16
0202030101_22v2,경영진 지원업무,2,20
0202030102_22v3,경영환경 동향 분석,4,30
0202030103_22v2,경영진 일정관리,3,20
0202030104_22v2,출장관리,4,20
0202030105_22v2,응대업무,3,20
0202030106_22v3,보고업무,3,20
0202030107_22v3,경영진 문서작성관리,3,20
0202030108_22v3,회의의전관리,4,20
0202030109_22v2,비서 사무정보관리,2,30
0202030111_22v2,경영진 예결산관리,3,40
0202030114_22v3,글로벌 경영사무 지원,4,40
0202030201_22v3,문서작성,3,20
0202030202_22v3,문서관리,2,20
0202030203_22v4,자료 관리,4,30
0202030206_22v4,회의 운영,2,20
0202030207_22v4,사무행정 업무관리,3,30
0202030208_22v4,사무환경조성,2,20
0202030209_22v2,사무자동화 프로그램 활용,3,80
0202030210_22v2,그룹웨어 활용,2,20
0202030211_22v1,경영정보시각화,4,40
0203010101_20v3,예산편성지침 수립,4,16
0203010102_20v3,부문예산 수립,4,24
0203010103_20v3,연간 종합예산 수립,5,24
0203010104_20v3,추정재무제표 작성,3,24
0203010105_20v3,확정 예산 운영,3,16
0203010106_20v3,예산 실적 관리,4,24
0203010107_20v3,예산 위험 관리,6,24
0203010201_20v3,자금계획 수립,6,24
0203010202_20v3,자금조달,5,24
0203010204_20v3,자금운용,4,16
0203010205_20v3,자금정보제공,3,16
0203010206_20v3,재무위험관리,5,24
0203010207_20v3,성과 분석,6,24
0203020101_20v4,전표관리,2,40
0203020102_20v4,자금관리,2,30
0203020103_20v4,원가계산,2,40
0203020104_23v5,결산처리,2,30
0203020105_20v4,회계정보시스템 운용,2,20
0203020107_20v4,회계감사,5,20
0203020108_20v4,사업결합회계,6,20
0203020109_20v4,비영리회계,4,30
0203020110_20v2,원가관리,3,45
0203020112_23v5,재무제표작성,3,60
0203020201_23v6,적격증빙관리,2,40
0203020204_23v6,원천징수,3,40
0203020205_23v6,부가가치세 신고,3,40
0203020206_23v6,종합소득세 신고,4,30
0203020208_23v6,지방세 신고,3,30
0203020209_23v5,기타세무 신고,5,40
0203020210_23v5,세무조사 대응,6,20
0203020211_23v5,조세불복청구,6,30
0203020212_23v5,절세방안 수립,6,20
0203020213_23v6,세무조정 준비,3,30
0203020214_23v6,법인세 신고,5,30
0204010101_23v3,구매 전략 수립,7,16
0204010102_23v3,신규 공급자 발굴,5,16
0204010103_23v3,공급자 육성,5,16
0204010104_23v3,구매 발주관리,3,16
0204010105_23v3,구매품 품질관리,4,16
0204010106_23v3,개발구매,5,24
0204010107_23v3,구매 원가 관리,6,24
0204010108_23v3,구매 원가 절감 실행,5,16
0204010109_23v3,구매 계약,4,16
0204010110_23v3,구매 성과관리,5,16
0204010111_23v2,구매 리스크관리,7,16
0204010112_23v1,공급자 관계관리,6,16
0204010201_20v2,자재관리 전략수립,7,16
0204010202_20v2,자재조달 계획수립,6,20
0204010203_20v2,자재 입고관리,3,20
0204010204_20v2,자재창고 운영관리,4,30
0204010205_20v2,자재 운영관리,4,20
0204010206_20v2,자재 출고관리,3,20
0204010207_20v2,사내물류관리,5,24
0204010301_23v3,생산계획수립,7,16
0204010302_23v3,공정설계,6,16
0204010303_23v3,공정편성,5,16
0204010304_23v3,작업계획수립,5,16
0204010305_23v3,표준작업관리,4,16
0204010306_23v3,공정품질관리,3,16
0204010307_23v3,설비일상관리,3,16
0204010308_23v3,설비보전관리,4,16
0204010309_23v3,공정지표관리,5,16
0204010310_23v3,공정개선,4,16
0204010311_23v2,설비자산관리,5,16
0204010312_23v1,생산정보시스템 운영관리,4,16
0204010313_23v1,외주생산관리,5,16
0204010314_23v1,설비효율관리,5,16
0204010401_16v2,공급망 진단 분석,7,16
0204010402_16v2,공급망 전략 수립,7,16
0204010403_16v2,공급망 수요 계획,5,16
0204010404_16v2,공급망 공급 계획,5,16
0204010405_16v2,공급망 생산 운영,5,16
0204010406_16v2,공급망 조달 운영,5,16
0204010407_16v2,공급망 재고 운영,3,16
0204010408_16v2,공급망 운송 관리,3,16
0204010409_16v2,공급망 성과 관리,5,16
0204020101_14v1,품질전략수립,6,20
0204020102_14v1,품질정보관리,4,20
0204020103_14v1,서비스 품질관리,5,20
0204020104_14v1,사내표준화,4,20
0204020105_14v1,품질코스트관리,6,20
0204020106_14v1,설계품질관리,5,30
0204020107_16v2,공정품질관리,4,20
0204020108_14v1,품질검사관리,4,20
0204020109_14v1,협력사품질관리,4,20
0204020110_16v2,품질보증체계확립,5,30
0204020111_14v1,신뢰성관리,5,30
0204020112_14v1,안전품질관리,6,20
0204020113_16v2,품질경영혁신활동,4,30
0204020114_16v2,지속적개선활동,3,20
0204020115_14v1,현장품질관리,3,20
0204020116_16v1,품질경영시스템 인증관리,5,30
0204030201_14v1,수출입사전준비,2,20
0204030202_16v2,수출입위험관리,3,25
0204030204_14v1,수출입계약,3,30
0204030205_14v1,수출입운송보험,3,30
0204030208_16v2,수출마케팅,3,50
0204030209_16v2,수입마케팅,3,25
0204030210_16v2,수출통관,3,25
0204030211_16v2,수입통관,3,50
0204030212_16v2,수출대금결제,3,50
0204030213_16v2,수입대금결제,3,25
0204030301_15v1,FTA 원산지 활용분석,4,30
0204030302_15v1,FTA 원산지 판정요소관리,4,70
0204030303_15v1,FTA 원산지 판정,5,70
0204030304_15v1,FTA 원산지 증빙서류 발급,2,30
0204030305_15v1,FTA 원산지 인증수출자 인증,3,30
0204030306_15v1,FTA 원산지 수입활용,4,50
0204030307_15v1,FTA 원산지 검증 대응,5,50
0204030308_15v1,FTA 원산지 활용전략수립,6,50
0204030501_22v4,물류 전략기획,6,30
0204030502_22v4,물류 고객관리,4,30
0204030503_22v4,물류거점 네트워크 설계,5,30
0204030504_22v1,재고관리 기획,4,40
0204030505_22v1,운송관리 기획,4,40
0204030506_22v1,보관하역관리 기획,4,40
0204030507_22v1,물류성과관리,5,30
0204030508_22v4,물류정보시스템 활용,3,30
0204030601_23v4,육상운송관리,3,30
0204030602_23v4,해상운송관리,3,30
0204030603_23v4,항공운송관리,3,30
0204030604_23v4,복합운송관리,3,30
0204030605_23v4,국제특송관리,3,30
0204030606_23v1,국내특송관리,3,30
0204030607_23v1,운송플랫폼 활용,5,30
0204030701_22v4,입고관리,3,30
0204030702_22v4,보관관리,3,30
0204030703_22v1,분류관리,3,30
0204030704_22v1,물류포장관리,3,30
0204030705_22v2,물류유통가공,3,30
0204030706_22v4,출고관리,3,30
0301010102_14v1,예금상품 세일즈,3,15
0301010103_14v1,제신고 처리,3,10
0301010104_14v1,출납관리,2,10
0301010105_14v1,외국환거래,3,30
0301010106_14v1,전자금융 서비스,2,10
0301010107_16v2,개인대출 세일즈,3,30
0301010108_14v1,펀드 세일즈,4,25
0301010109_14v1,방카슈랑스 세일즈,4,25
0301010110_14v1,신용카드 세일즈,3,15
0301010111_16v2,부수업무 처리,2,20
0301010112_14v1,금융소비자 보호,3,15
0301010113_16v2,입지급 거래,2,25
0301010114_16v2,예금관리,2,30
0301010201_14v1,가망기업 고객 발굴,6,15
0301010202_14v1,대상기업분석,6,45
0301010203_14v1,고객접촉활동·관계형성,4,15
0301010204_14v1,기업고객 상담,5,15
0301010205_14v1,기업고객니즈 파악·분석,5,15
0301010206_14v1,거래 제안·협상,6,30
0301010207_14v1,거래신청 심사·승인,5,15
0301010208_14v1,거래약정,4,15
0301010209_14v1,기업 거래심화,5,30
0301010210_14v1,기업고객관리,6,30
0301010301_14v1,고객창출,4,15
0301010302_14v1,고객상담,4,15
0301010303_14v1,고객정보수집·분석,4,10
0301010304_14v1,금융자산 투자설계,5,30
0301010305_14v1,비금융자산 상담·자문,5,30
0301010306_14v1,고객제안·실행,5,30
0301010307_14v1,투자 사후관리,5,30
0301010308_14v1,고객관리,4,20
0301010309_14v1,PB컴플라이언스,4,20
0301010401_14v1,개인영업,3,20
0301010402_14v1,기업영업,4,20
0301010403_14v1,제휴영업,4,25
0301010404_16v2,회원마케팅,4,50
0301010405_14v1,가맹점마케팅,4,25
0301010408_16v2,신용리스크관리,4,50
0301010409_14v1,고객상담,3,20
0301010410_16v2,심사관리,3,40
0301010411_16v2,발급관리,3,40
0301010412_16v2,국내 정산관리,3,40
0301010413_16v2,국제 정산관리,3,40
0301010501_17v1,설비금융영업,5,48
0301010502_17v1,자동차 리스영업,4,32
0301010503_17v1,자동차 할부대출영업,2,32
0301010504_17v1,기업여신영업,5,48
0301010505_17v1,여신전문금융 심사,5,48
0301010506_17v1,여신전문금융 회계,4,48
0301010507_17v1,여신전문금융 컴플라이언스,4,32
0301010508_17v1,여신전문금융 사후관리,2,32
0301010509_17v1,여신전문금융 채널관리,3,32
0301010510_17v1,여신전문금융 채권관리,4,32
0301020101_14v1,시장기회 탐색,4,20
0301020102_14v1,여수신상품개발 타당성 검토,5,30
0301020103_14v1,여신상품 기획,6,40
0301020104_14v1,수신상품 기획,6,30
0301020105_14v1,여신상품 설계,6,40
0301020106_14v1,수신상품 설계,6,30
0301020107_14v1,컴플라이언스,5,20
0301020108_14v1,전산개발 지원,3,20
0301020109_14v1,여수신상품 마케팅,4,20
0301020110_14v1,여수신상품 사후관리,3,20
0301020201_19v2,아이디어 수집,3,20
0301020203_14v1,투자수요 분석,4,20
0301020204_19v2,전통상품 설계,5,30
0301020205_19v2,파생내재상품 설계,6,30
0301020206_19v2,대체상품 설계,6,40
0301020207_19v2,투자상품 마케팅 전략수립,5,20
0301020208_19v2,투자상품 출시준비,3,20
0301020210_19v2,투자상품 사후관리,4,20
0301020211_19v2,투자상품 제도분석,5,30
0301020212_19v2,투자 상품성 분석,5,30
0301020213_19v2,투자상품 위험관리,5,30
0301020214_19v2,투자환경 위험관리,5,30
0301020301_14v1,연금시장 분석,5,15
0301020302_14v1,연금관련 제도분석,5,30
0301020303_14v1,연금고객 수요분석,5,15
0301020304_14v1,연금상품 판매인프라 구축,5,20
0301020305_14v1,연금 컨설팅,6,40
0301020306_14v1,연금상품 설계,7,20
0301020307_14v1,연금계리,6,40
0301020308_14v1,연금자산 관리,7,50
0301020309_14v1,연금제도 운영,4,20
0301020310_14v1,연금상품 사후관리,4,20
0301020401_14v1,카드상품 기회발견,3,20
0301020402_14v1,카드상품개발 타당성 검토,4,20
0301020403_14v1,카드상품 설계,5,30
0301020404_14v1,브랜드 기획,6,20
0301020405_14v1,카드상품 구성,5,30
0301020406_14v1,카드상품 마케팅 전략수립,5,20
0301020407_14v1,카드상품 출시준비,4,20
0301020408_14v1,카드상품 출시마케팅,3,20
0301020409_14v1,카드상품 모니터링,4,20
0301020410_14v1,컴플라이언스,6,20
0301030101_14v1,정보수집,3,15
0301030102_14v1,재무정보 분석,3,15
0301030103_14v1,비재무정보 분석,4,20
0301030104_14v1,신용등급의 개발,5,40
0301030105_16v2,신용등급의 운용,5,40
0301030107_14v1,신용정보 집중관리,6,40
0301030108_14v1,개인정보 관리,5,25
0301030109_14v1,개인신용 분석·응용,5,35
0301030110_16v2,외부정보 신용등급 사후관리,5,20
0301030111_16v2,내부정보 신용등급 사후관리,5,20
0301030112_16v2,부실징후 분석,5,20
0301030201_16v2,기업신용분석 관련 정보수집,4,20
0301030202_16v2,산업위험 분석,5,40
0301030204_14v1,재무상태 분석,5,15
0301030205_16v2,경영성과 분석,5,50
0301030206_14v1,현금흐름분석,5,25
0301030207_14v1,사업성검토·기업가치 평가,6,20
0301030208_16v2,기업신용등급 결정,5,40
0301030209_16v2,경영위험 분석,5,30
0301030210_16v2,영업위험 분석,5,50
0301030301_14v1,여신상담,3,25
0301030302_14v1,채무관계인 분석,4,30
0301030303_14v1,자금용도 검토,4,25
0301030304_14v1,상환가능성 평가,6,35
0301030305_14v1,채권 보전 검토,4,25
0301030306_14v1,여신조건 결정,6,25
0301030307_14v1,여신 심사보고서 작성,6,40
0301030308_14v1,여신 실행,3,20
0301030309_14v1,여신사후관리,5,35
0301030311_16v2,문제여신발견,5,40
0301030312_16v2,문제여신회수,5,40
0301040102_19v2,펀드 자산배분,6,40
0301040103_19v2,산업별 개별투자대상 분석,5,40
0301040104_19v2,포트폴리오 운용,6,40
0301040105_19v2,위탁운용사 자문사 관리,5,20
0301040106_19v2,주문실행,3,20
0301040107_14v1,펀드 컴플라이언스,5,30
0301040108_19v2,펀드 리스크관리,5,40
0301040109_19v2,펀드 성과분석,5,30
0301040110_19v2,펀드회계,5,30
0301040111_19v2,펀드 수탁관리,3,20
0301040112_19v2,펀드상품 기획,5,30
0301040113_19v2,펀드등록 관리,4,30
0301040202_14v1,거시경제분석,5,30
0301040203_14v1,산업분석,5,40
0301040204_14v1,계량모형분석,6,50
0301040205_14v1,기업분석,5,40
0301040206_14v1,주식가치평가,5,30
0301040207_14v1,채권가치평가,5,30
0301040208_14v1,주식투자전략 수립,7,20
0301040209_14v1,채권투자전략 수립,7,20
0301040210_14v1,주식·채권 포트폴리오 구성,6,30
0301040211_14v1,주식·채권 리스크 관리,5,40
0301040212_14v1,주식·채권 운용성과 분석,4,20
0301040213_16v2,주식 투자목표 수립,4,30
0301040214_16v2,채권 투자목표 수립,4,30
0301040301_14v1,파생상품 운용목표 수립,7,20
0301040302_14v1,파생상품 운용시스템 개발,6,60
0301040304_14v1,파생상품분석,5,40
0301040305_14v1,파생상품 운용전략 수립,6,20
0301040306_14v1,파생상품 매매실행,6,40
0301040307_14v1,파생상품 매매관리,4,30
0301040308_14v1,파생상품 리스크관리,5,30
0301040309_14v1,파생상품 컴플라이언스,5,20
0301040310_14v1,파생상품 성과평가,7,20
0301040311_16v2,파생상품 시장분석,4,20
0301040312_16v2,파생상품 거래분석,5,40
0301040401_14v1,투자시장 분석,6,20
0301040402_14v1,투자전략 수립,7,40
0301040403_14v1,투자자금 모집,6,20
0301040404_14v1,투자 발굴 실사,7,40
0301040405_14v1,투자실행,7,30
0301040406_14v1,투자자산 관리,6,30
0301040407_14v1,투자회수,7,40
0301040408_14v1,투자 사무관리,4,20
0301040409_14v1,투자 성과평가,5,30
0301040410_14v1,투자 리스크관리,7,40
0301040502_19v2,신탁자산관리 기획,5,30
0301040503_19v2,금전신탁관리,5,25
0301040504_19v2,금전채권신탁관리,5,20
0301040505_19v2,신탁부동산개발,7,45
0301040506_19v2,실물자산 신탁관리,6,35
0301040507_14v1,증권신탁관리,5,20
0301040508_14v1,신탁회계,5,25
0301040509_14v1,신탁리스크관리,5,30
0301040510_14v1,신탁자산 보관결제,4,20
0301040511_19v2,신탁상품 기획,5,30
0301040512_19v2,신탁상품 출시,5,40
0301050101_14v1,결제 기획,6,20
0301050102_14v1,금융거래 확인,3,20
0301050103_14v1,결제방법 결정,4,24
0301050105_14v1,거액 결제,5,30
0301050106_14v1,증권 결제,5,30
0301050107_14v1,외환 결제,4,30
0301050108_14v1,결제 보고,5,20
0301050109_14v1,결제 마감,4,20
0301050110_14v1,결제위험 관리,7,24
0301050111_16v2,소액 결제,3,45
0301050112_16v2,금융공동망 결제,4,25
0301050201_14v1,채권추심 사전관리,4,30
0301050202_14v1,채무자 재산조사,4,30
0301050203_14v1,채무자 부실징후 파악,4,40
0301050206_16v2,채권 회수전략 수립,6,50
0301050207_16v2,채권 회수활동,5,50
0301050208_14v1,채권 보전조치,5,30
0301050209_14v1,추심소송,6,40
0301050210_14v1,강제집행,5,30
0301050211_16v2,채무자 상환능력 분석,5,30
0301050212_16v2,채무자 관련 인적 정보 분석,5,40
0301050213_16v2,담보상태 분석,5,40
0301050214_16v2,담보가치 분석,5,40
0301050302_19v2,리스크 식별,5,20
0301050303_14v1,리스크 평가,6,40
0301050304_19v2,리스크 측정,5,40
0301050305_19v2,자산 건전성 관리,6,20
0301050306_19v2,신용포트폴리오 관리,6,20
0301050307_19v2,적정성 관리,5,20
0301050308_14v1,위기상황 분석,6,30
0301050309_14v1,리스크관리 모니터링,5,20
0301050310_14v1,위험조정성과평가,6,20
0301050311_19v2,리스크관리 기획,6,45
0301050312_19v2,리스크관리 조직운영,5,30
0301060101_15v2,증권거래 고객마케팅,4,24
0301060102_16v2,증권거래 투자상담,5,20
0301060103_15v2,증권거래 조사분석,6,26
0301060104_16v3,국내 증권관리,5,45
0301060105_16v3,해외 증권관리,5,36
0301060106_14v1,금융상품 투자중개,5,30
0301060107_15v2,고객자산 포트폴리오 제공,7,36
0301060108_14v1,증권거래 컴플라이언스,7,28
0301060109_14v1,증권거래업무 지원,5,24
0301060110_15v2,증권 계좌관리,3,20
0301060201_14v1,외환·파생 고객관리,5,20
0301060202_15v2,외국환 확인업무,4,20
0301060203_15v2,외국환 창구업무,4,20
0301060204_15v2,외환·파생 상품설계 제안,6,32
0301060205_14v1,은행간거래 관리,5,48
0301060206_14v1,대고객거래 관리,6,36
0301060207_15v2,외환·파생 리스크관리,7,48
0301060208_14v1,외환·파생 후선업무,4,36
0301060209_14v1,외환·파생 조사분석,5,36
0301060210_15v2,외환·파생 업무지원,6,24
0301060211_15v2,외환·파생 컴플라이언스,7,24
0301060301_14v1,자금조달 제안,7,20
0301060303_14v1,유동화증권 기초자산 검토,6,24
0301060304_15v2,증권신고서 작성 제출,4,26
0301060305_15v2,유동화증권신고서 작성 제출,4,20
0301060306_14v1,주식 가격 결정,6,20
0301060307_14v1,채권 가격 결정,6,20
0301060308_14v1,주식연계증권 가격 결정,6,20
0301060309_15v2,증권발행,2,20
0301060310_15v2,유동화증권 투자자 모집,7,20
0301060311_16v2,인수대상회사 사전 실사,5,25
0301060312_16v2,인수대상회사 본 실사,5,25
0301060401_14v1,상장대상기업 발굴,6,28
0301060402_14v1,상장전략 수립,7,48
0301060404_14v1,상장심사,5,24
0301060405_14v1,증권신고서 작성 제출,4,20
0301060406_16v3,수요예측(Book Building),5,32
0301060407_15v2,공모상장,4,20
0301060408_15v2,SPAC상장,7,32
0301060409_15v2,코넥스상장,6,20
0301060410_14v1,상장폐지,5,22
0301060411_16v3,기업가치평가 사전분석,5,30
0301060412_16v3,공모예정가격 산출,5,40
0301060501_15v2,조달 전략 수립,7,22
0301060502_14v1,조달 프로그램 관리,5,32
0301060503_14v1,투자자 관리,6,20
0301060504_14v1,채권 발행,7,22
0301060505_14v1,신디케이트론 차입,7,22
0301060506_15v2,단기유동성 관리,5,20
0301060507_14v1,조달 사후관리,4,20
0301060508_14v1,여신준비,5,24
0301060509_14v1,여신심사약정,6,40
0301060510_14v1,여신실행 사후관리,4,26
0301060601_14v1,수출신용장 통지,3,20
0301060602_14v1,수출신용장 양도,3,20
0301060603_15v2,신용장방식 수출환어음 매입추심,4,20
0301060604_15v2,무신용장방식 수출환어음 매입추심,4,20
0301060605_15v2,수출대금 사후관리,5,20
0301060606_15v2,수입신용장 개설,4,30
0301060607_15v2,수입선적서류 인수결제,5,20
0301060608_14v1,외화지급보증 개설,6,30
0301060609_14v1,외화지급보증 지급관리,5,20
0301060610_14v1,한국은행 무역금융 취급,6,40
0302010101_14v1,거시 경제 분석,6,16
0302010102_14v1,금융 산업 현황 분석,7,16
0302010103_14v1,보험 소비자 수요 분석,6,8
0302010104_14v1,국내외 보험 시장 현황 분석,4,16
0302010105_14v1,보험 상품 시장성 분석,6,8
0302010106_14v1,상품 개발 전 리스크 분석,7,16
0302010107_14v1,재보험 활용 전략 수립,8,8
0302010108_14v1,보험 상품 마케팅 전략 수립,8,16
0302010109_14v1,보험 상품 개발 제안서 작성,5,8
0302010110_14v1,상품관련 보험회사의 사회적 책임 전략 수립,7,8
0302010201_14v1,보험상품개발 전략 수립,8,20
0302010202_14v1,시장 니즈 분석,6,10
0302010203_14v1,보험 상품 디자인,7,30
0302010204_14v1,보험 위험률 개발,7,40
0302010205_14v1,상품 개발안 설정,8,40
0302010206_14v1,보험 상품 인가,6,30
0302010207_14v1,보험 판매 준비,5,20
0302010208_14v1,상품 모니터링,5,10
0302010301_14v1,보험통계관리,5,96
0302010302_14v1,최적가정 결정,7,48
0302010303_14v1,보험 계약 부채 평가,6,96
0302010304_14v1,손익분석,6,96
0302010305_14v1,회사가치 평가,8,48
0302010306_14v1,지급여력 적정성 관리,7,48
0302010307_14v1,리스크 관리,8,96
0302010308_14v1,계약자배당관리,6,48
0302010309_14v1,계리 경영 관리,8,48
