job_title,skills
간호조무사,"간호, 간호 조무, 간호 조무사 관련 업무 수행, 간호보조, 간호조무, 검사실 업무, 교정, 나이트킵(PM 간호), 매출 관리, 병동 간호, 수술실 간호, 수술실 업무, 어르신 간호, 예약 관리, 외래 간호, 외래 업무, 응급처치, 의료, 의료 caring, 의료 지원, 의료비 지원(가족), 의료비 지원(본인), 조무, 직원 관리, 치과조무, 컴퓨터 작업(케어포 사용), 한방병원 간호, 한방병원 병동 간호, 환자 간병, 환자 관리"
감시카메라 및 보안장치 설치·수리원,"CCTV 설치, CCTV 정비, 감시카메라 설치, 감시카메라 수리, 보안장치 설치, 보안장치 수리"
강사,영어 교육
건물 경비원,"건물 경비, 검색대 운영, 공장 경비, 내방객 응대, 병원 경비, 빌딩 경비, 순찰, 안전사고 예방, 청사 경비, 학교 경비"
건물 보수원 및 영선원,"건물 보수, 공장 건물 시설 영선, 영선"
건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),"건물 관리, 건물 보수, 건물 시설 관리, 시설 유지 관리, 영선"
건물 청소원,"건물 청소, 건물 청소 (공공건물, 공공건물 청소, 공장 등), 공장 청소, 매장 청소, 미화, 백화점 청소, 병실 청소, 병원, 병원 청소, 사무실, 사무실 청소, 사우나 청소, 상가, 상가 청소, 시설 관리, 실내 미화, 아파트, 아파트 청소, 안내, 역 구내 정리, 역구내 정리, 오피스텔 청소, 지하철역사 청소"
"건물 청소원(공공건물, 아파트, 사무실, 병원, 상가, 공장 등)","APT 청소, 건물 청소, 공공건물 청소, 공동구역 청소, 공중화장실 청소, 매장 청소, 목욕탕 청소, 미화, 백화점 청소, 병실 청소, 병원 청소, 분리 수거, 빌딩 청소, 사무실 청소, 사우나 청소, 상가 청소, 시설 관리, 쓰레기 수거, 아파트 청소, 역구 내 정리, 역구내 정리, 오피스텔 청소, 의원 청소, 제초, 조경 관리, 지하철역 사 청소, 청소, 환경 미화"
"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)","APT 청소, 공중화장실 청소, 매장 청소, 병원 청소, 빌딩 청소, 사무실 청소, 사우나 청소, 상가 청소, 아파트 청소, 역구내 정리, 의원 청소"
건설·건축,동파방지
건설·채굴 기계 운전원,"건설 기계 운전, 덤프트럭 운전, 도로정지기 운전, 쇄석기 조작, 채굴 기계 운전"
건설·채굴 단순 종사원,"건설자재 정리, 기와 고르기, 담장 보수, 벽체 보수, 안전망 설치, 안전시설물 관리, 안전시설물 설치, 안전시설물 해체, 주변 경관 정비"
건설·채굴단순종사원,"건설자재 정리, 건설현장 신호수, 대리석 운반, 통신관로 작업"
건설자재시험원,"건설자재 시험, 건설재료 시험, 건축재료 시험"
건설현장반장,"건설 현장 관리, 인부 관리"
건축 목공,"건축 목공, 모듈러주택 제작"
건축 제도사(캐드원),"건축 제도, 건축 캐드, 태양광 설계(캐드)"
건축 현장소장,"건축 현장소장, 인테리어 현장소장, 현장 관리"
건축·인테리어디자이너,"CAD, 건축설계디자인, 건축시공, 시설물디자인, 실내공사, 인테리어디자인, 인테리어시공"
건축시공 기술자,"건축 시공 기술 개발, 건축견적, 건축적산, 공무"
"건축시공 기술자(건축견적, 공무포함)","건축 공정 관리, 건축견적, 건축공정 관리, 건축공정관리, 건축대관 업무, 건축시공, 공무, 공무 관리"
"건축시공기술자(건축견적, 공무포함)","건축견적, 건축공정 관리, 공무 관리"
건축안전·환경·품질·에너지관리기술자,"건설현장 안전, 건설환경 관리, 안전감시, 에너지관리, 품질관리"
경·소형 화물차 운전원,"1톤 화물 운전, 경·소형 화물차 운전, 소형트럭 운전 (4톤 미만)"
경륜·경정지원,경륜·경정 지원
경리 사무원,"4대보험 경리, 경리, 경리 업무, 경리장부 정리, 급여 관리, 매입매출 경리, 사무, 사무 보조, 사무 작업"
경리 사무원(건설),"4대 보험 경리, 건설 경리, 건설업 4대 보험 경리, 건설업 경리, 건설업 매입매출 경리, 건설업 장부 정리, 건설업 전표 정리, 경리, 매입매출 경리, 사무, 사무 지원, 전표 정리, 회계"
경리 사무원(아파트·빌딩),"경리 업무, 빌딩 관리, 상가 관리, 아파트 관리"
경리 사무원(일반사업체),"경리, 경리 업무, 사무, 사무 지원, 세무 처리, 재무 관리, 회계, 회계 처리"
경리 사무원(제조),"4대 보험 경리, 경리, 매입 매출 경리, 전표 정리, 제조업 경리, 회계"
경리 사무원(회계·세무 사무소),"거래처 기장, 기업 기장, 부가세 대리, 세무, 세무 신고 대리, 회계"
경비·청소관리자,건물 미화
경비원(건물 관리원),"건물 관리, 경비 업무, 경비원(건물 관리), 공동작업, 시설 관리, 시설물 내외부 시설관리, 야간관리, 유지보수, 출입통제, 환경관리"
경영지원,경영지원
경영지원 서비스 관리자,"각종 서류 제작, 면접시험 자료 준비, 문서 작성, 블라인드 채용 절차 수립, 서류 편집, 서류심사 자료 준비, 운전 (운전 가능), 컴퓨터 활용 (고급 엑셀 활용, 프리젠테이션), 필기시험 자료 준비"
"경영지원(회계, 인사총무)","관리회계, 인사관리, 재무회계, 전산회계, 총무, 회계"
경영지원관리자,경영지원
경호·경비,"경비, 경호, 경호·경비, 교통 신호수, 보안"
계기검침원 및 가스점검원,"가스 안전 점검, 계기 검침"
고객상담·TM 직원,"CS (고객서비스), TM (텔레마케팅), 고객상담, 고객응대, 주문접수"
"고객상담·TM, 영업·판매·무역","TM, 고객상담, 무역, 영업, 판매"
고무제품 조립원 및 검사원,"검사, 고무 제품 조립"
골프장 캐디,"골프장 용역 관리, 골프진행 보조"
공업기계 설치·정비원,"PLC 작업, 공업기계 설치, 공업기계 정비, 기계 설치, 기계 수리, 기계 정비, 기계 조립, 모터 설치, 모터 정비, 바이오에너지 생산 시스템 설치, 설치, 실린더 수리, 유지보수, 자동화기계 정비, 전기 작업, 정비, 회전기계 설비 보수"
공연·영화·음반기획자,"공연 기획, 영화 기획, 음반 기획"
공장 전기관리원,"전기 관리, 전기 기계 공무, 전기 설비 공무"
과자·빵·떡·캔디·초콜릿 제조기계 조작원,"과자 제조, 떡 제조, 빵 제조, 제조기계 조작, 초콜릿 제조, 캔디 제조"
관광 및 통근·통학·학원·기타 버스 운전원,"운전, 학교(스쿨)버스 운전"
광고·홍보 전문가,"광고, 교육, 홍보"
광고기획&전략 전문가,"광고기획, 브랜드마케팅"
광고대행사 직원,"IMC, 광고관리, 광고기획, 광고제작, 마케팅기획, 매체구매, 매체기획, 브랜드마케팅, 온라인마케팅, 웹프로모션, 제휴마케팅"
교사,영어 교육
교사 보조원,교사 보조
교사보조 및 보육보조 서비스 종사원,"교사 보조, 보육 보조"
교육·훈련 사무원,프로그램 운영
구매·자재 관리 담당자,"구매, 물류, 자재 관리"
구매·자재·물류팀 관리자,"TM, 고객상담, 구매, 물류, 자재"
구매기획/관리 담당,"구매 관리, 구매 기획, 물류 관리, 자재 관리"
구조기술자,"건설·건축, 생산, 안전진단"
"굴착기(굴삭기, 포크레인) 운전원","굴착기 운전, 뿌레카 운전, 크라샤 운전, 포크레인 운전"
"굴착기(굴삭기,포클레인) 운전원","굴착기(굴삭기) 운전, 포클레인 운전"
굴착기/포크레인/뿌레카운전원,"굴착기 운전, 뿌레카 운전, 포크레인 운전"
금속 공작기계 조작원,"CAM식 자동선반 조작, 금속 공작기계 조작, 롤 벤딩기 조작, 용접, 제정기(못제조기) 조작, 캠가공"
금속가공 기계 조작원,"NC밀링기 조작, PIPE 생산, 금속 가공 기계 조작, 금속가공 기계 조작, 기계장비 운전, 범용밀링 조작, 철판 가공"
금속절곡기 조작원,"금속절곡기 조작, 밴딩기 조작, 샤링절곡기 조작, 스텐EGI절단기 조작, 절단절곡기 조작"
금속절곡기 조작원(밴딩기 조작원),"VCUTTING 기 조작, V컷팅, 금속 절곡기 조작, 스텐 절곡, 스텐 절단, 스텐EGI 절단기 조작, 절단절곡기 조작"
금융사무,금융사무
금형공학 기술자 및 연구원,"금형 공학, 금형 설계, 금형 제작"
금형원,"금형 보조, 금형 수리"
급식 조리사,"급식 조리, 조리"
기간제근로자,"기후 관리, 대기 진단, 환경 관리"
기계 운전원,"TBM기 조작, 그래브준설선 운전, 덤프트럭 운전, 도로정지기 운전, 도로포장기 운전, 불도저 운전, 시추장비 조작"
기계·금속,"금속, 기계, 영업지원, 회계"
기계·금속 분야 단순 종사원,알루미늄 커팅
기계·금속 제도사(캐드원),"금속 가공, 기계 공구, 기계 설계, 기계 제도, 캐드, 캐드 작업"
기계·설비조작 및 조립 종사자,"기계 조작, 산업기계 조작, 설비 조작, 제어기기 조작"
기계·자동차·금속 제품 디자이너,디자인
기계공학 기술자 및 연구원,"제품 개발, 제품 설계"
기업 인터넷뱅킹 고객지원(IT Help Desk) 담당자,"IT 기술 지원, 금융 영업, 기술 영업, 인터넷뱅킹 고객지원"
기타 건설 기능원,"건물 해체, 건축물 해체계획서 작성, 방음벽 설치, 정화조 설치"
기타 금속공작기계 조작원 및 보조원,"기계 조작, 범용밀링기 조작, 연마(광택)기 보조, 연삭기 보조, 절단기 보조, 톱기계 보조, 프레스기 보조"
기타 보건·의료 서비스 종사원,"환자 운반, 환자 이송"
기타 보건·의료 종사원,실습 조교
기타 사무원,"경리, 사무 보조, 여행 상담"
기타 스포츠 및 여가서비스 종사원,"고객 관련 부가서비스, 고객 및 시설안전 관리, 라이프가드, 비품 관리, 수영장 운영 질서안전 관리, 야외놀이시설물 관리"
기타 식품가공기계 조작원,"담배 가공, 빵가루 제조, 설탕 가공, 식품가공기계 조작, 유지, 장류 가공, 조미식품 가공, 커피 가공"
기타 음식서비스 종사원(병원 배식원),조리
기타 자동차 운전원,자동차 운전
기타 전기·전자 설비 조작원,"기타 전기 설비 조작, 기타 전자 설비 조작, 아파트 설비 관리, 아파트 설비 유지보수, 전기 설비 조작, 전기·전자 설비 조작, 전기안전관리, 전자 설비 조작"
기타 전자 부품·제품 조립·검사원,"땜, 외 제품 조립, 유도등 조립, 포장"
기타 직조기·편직기 조작원,"방축가공기 조작, 연경기 조작, 정경기 조작, 정단 조작, 직조기 조작, 통경기 조작, 편직기 조작"
기타 판매 단순 종사원,"기타 판매, 영양사, 판매"
기타 화학제품 생산기계 조작원,"생산 기계 조작, 전자소재 생산"
기획·전략·회계·세무·재무 전문가,"기획, 세무, 재무, 전략, 회계"
내선 전기공,"내선 작업, 태양열 발전시스템 설치, 태양열 발전시스템 유지보수"
내선 전기공(건물 내 전기공사원),"건축전기, 내선공, 전기공사"
노무 사무원,"4대보험 관리, 급여 관리"
농림어업 단순 종사원,"갑판 조작, 항해"
농업 단순 종사원,"농산물 수확, 농업 종사, 목장 관리, 생산 관리, 유리온실 재배, 작물 재배, 증식, 채소 수확, 채소 재배, 축산 관리, 축산 단순 노무"
단순 경리 사무원,단순 경리
단순 종사원,생산
단순 종사원(식품 분야),"생산, 생산 작업, 식품 생산"
단순 종사원(식품),"생산, 식품 생산"
단체 급식 보조원,"단체 급식 보조, 단체급식 보조, 단체급식 조리, 밥 조리, 주방 보조, 학교 급식 보조"
단체급식보조원,"단체 급식 보조, 조리 보조"
대기 환경 기술자 및 연구원,"대기 환경 관리, 대기 환경 모니터링, 수질 분석"
대출상담사,금융·보험
대형마트 판매원,"영업지원, 판매"
대형트럭/트레일러 기사,"대형트럭 운전, 트레일러(츄레라) 운전"
도금·금속분무기 조작원,"금속분무기 조작, 도금 기계 조작, 전기도금"
도로정지기 운전원,"BUCKET 준설선 운전, DIPPER 준설선 운전, 덤프트럭 운전, 버킷 준설선 운전, 시추용 천공기 조작, 지하수 개발 시추, 지하수 시추, 진동롤러 운전, 착암용 점보 드릴 조작, 채석장 착암기 조작, 타이어식 롤러 운전, 탬덤 롤러 운전"
디자이너,디자인
디지털 광고기획 AE,"IMC, 광고관리, 광고기획, 광고제작, 마케팅기획, 매체구매, 매체기획, 브랜드마케팅, 온라인마케팅, 웹마케팅"
레스토랑 홀 직원,서비스
레이저 절단원,"레이저 가공, 레이저 절단"
레저·테마파크 안전요원,"물놀이 시설 관리, 민원응대, 수경 작업, 수영장 안전근무, 수영프로그램 지도, 안전교육, 체육행정 사무업무"
마케터,"마케팅 전략, 문화 마케팅, 미디어 마케팅, 스포츠 마케팅, 이커머스 마케팅, 조사, 홍보, 홍보 기획"
마케팅 AE,"IMC, 광고관리, 광고기획, 광고제작, 마케팅기획, 매체구매, 매체기획, 브랜드마케팅, 온라인마케팅, 웹프로모션, 제휴마케팅"
마케팅·광고·홍보·상품기획 사무원,"마케팅 기획, 상품 기획, 상품 마케팅, 신규 비즈니스 개발, 영어 가능, 온라인판매 마케팅, 제품 홍보, 해외 영업, 홍보, 홍보 기획"
마케팅·홍보·조사 전문가,"MD(Merchandising), TM, 고객상담, 기획, 마케팅, 법무, 사무, 온라인 마케팅, 온라인 판매, 전략, 조사, 총무, 홍보"
마케팅기획사무담당,"마케팅 기획, 비서 업무, 사무 업무, 엑셀 활용"
매장 계산원,"계산, 계산 업무, 계산원, 매장 계산, 진열, 카운터 운영, 캐시어"
매장관리자,"가전제품 판매, 매장 관리, 서비스 영업"
머시닝센터(MCT) 조작원,"CNC 가공, CNC 선반 조작, CNC선반 조작, MCT 가공, MCT 기능, MCT 운영, MCT 조작, MCT 프로그래밍, 머시닝 가공, 머시닝가공, 머시닝센터(MCT) 조작, 정밀가공, 지그마스타 조작, 지그맞춤"
머천다이저(MD),온라인 광고 관리
모니터 요원,화상교사 모니터링
모바일 애플리케이션 프로그래머(앱·어플 개발),"JAVA 시스템 개발, iOS 앱 개발, 안드로이드 앱 개발"
"목재, 가구 및 기타 제조 분야 단순 종사원","목상자 제조, 목재 가공, 파레트 제조"
목재가공 단순 종사원,"가구 제조, 목재 가공, 인쇄"
목제품 제조원,"SKID 제작, WOODEN BOX 제작, 목재파렛트 생산, 목재파렛트 제작, 파레트 제작, 화물용 목상자 제조"
무관,"경영지원, 영업, 영업지원"
무역 사무원(영어),"무역 사무, 영어 번역, 입사지원현황통계"
무역관리사,"무역 사무, 수입, 수출"
물류 사무원,"물류 사무, 택배 전산 입력"
물류관리자,"고객 서비스, 물류 관리, 물류관리"
물리치료사,물리치료
미디어 콘텐츠 디자이너,"2D 영상 디자인, SEO, SNS 채널 관리, 미디어 콘텐츠 디자인, 방송CG 제작, 배너 디자인, 사진 촬영, 상세페이지 디자인, 소셜 마케팅, 온라인 콘텐츠 제작, 웹 디자인, 웹 사이트 관리"
미디어·문화·스포츠 직종,"스킨스쿠버 강사, 어린이 수영장 운영"
미술 강사,"도자기, 미술, 아동미술, 어린이 미술, 어린이미술, 유아미술"
미술치료사,미술치료
방사선사,"방사선 조사, 방사선조사, 의료방사선, 진단방사선, 치료방사선"
배관 보조원,"선박 배관 보조, 조선 배관"
배송 직원,"경화물차, 납품, 배달, 배송, 버스·승합차, 운반, 자가용, 택배, 트럭, 트레일러·덤프트럭"
배송·납품 운전원,"납품 영업, 납품 운전, 배송"
배송·납품 운전원(납품영업 포함),"1종 보통 운전, 2종 수동 운전, 3.5톤 탑차 운전, 거래처 관리, 거래처에 부품 납품, 납품, 납품 관리, 납품 영업, 납품 운전, 납품영업, 납품운전, 돈지육 배송, 배송, 부분육박스 배송, 사무업무, 상품 배송, 상하차, 스틱차량 운전, 식자재 관리, 영업, 운전, 의약품 운전, 입출고 관리, 자재창고 관리, 제품 포장, 출고, 프로그램을 이용한 부품검색"
배송사원,"경화물차, 납품, 배달, 배송, 버스·승합차, 운반, 자가용, 택배, 트럭, 트레일러·덤프트럭"
배송직원,"경화물차 운전, 납품, 배달, 배송, 버스·승합차 운전, 운반, 운전면허 보유, 자가용 운전, 택배, 트럭 운전, 트레일러·덤프트럭 운전"
백엔드 개발자,"백엔드 개발, 웹 개발"
백엔드개발자,"백엔드 개발, 손사업무개선, 실손 청구 자동화 구축, 웹 개발, 프론트엔드 개발"
백화점 판매원,의류 백화점 판매
버스 운전원,"버스 운전, 차량 운전"
범용 밀링기조작원,"범용 밀링 기능 조작, 범용 밀링기 조작, 범용 일밀링기 조작"
범용 선반 조작원,"롤 가공, 범용밀링 조작, 범용선반 기능, 범용선반 조작"
법률 사무원,"로펌 업무, 법무사무소 업무, 법원 업무"
법무 사무원(일반 기업체),"법률 사무, 법무 업무"
병원 급식 조리사,"급식 조리, 병원 급식 조리, 병원 식사 준비, 조리"
병원행정 사무원(원무),"병원행정, 사무, 원무"
보육교사,"0세 교육, 보육, 보육교사, 보조, 어린이집 교사, 영아반 교육, 오후연장교육"
보육시설 서비스 종사원,보육
보조선생님,교육
보험 심사원 및 사무원,"보험 관리, 보험 심사, 보험 총무"
보험영업,"금융 영업, 금융·보험영업, 보험 영업, 보험영업"
보호필름생산가공오퍼레이터,"보호필름 생산, 생산 가공, 포장, 품질 관리"
분양·임대 사무원,"납골당 분양, 사무, 행정"
브랜드 마케팅 과장,"IMC, 마케팅 기획, 브랜드 마케팅, 온라인 마케팅, 제휴 마케팅"
브랜드마케터,"그래픽디자인, 마케팅, 브랜드마케팅, 홍보"
비서,비서 업무
비정규직 대체인력(사무보조),사무보조
비파괴 검사원,비파괴 검사
비파괴검사원,"MT, PT, UT, 방사선 비파괴검사, 자기 비파괴검사, 초음파 비파괴검사, 침투 비파괴검사"
빌딩 관리소장,"건물 관리, 빌딩 관리, 상가 관리, 전기 안전 관리"
사무 보조원(일반사업체),"대외 관리, 문서 관리, 문서 작성, 사무 보조, 서류 정리, 업무 보조, 엑셀 표 작성, 영업지원, 워드 작성, 입사지원현황통계, 한글 문서 작성"
사무/경리,"견인장치 상담, 고객 상담, 고객 지원, 블로그 작성, 작업스케줄 관리, 재고 확인, 제품 발주"
사무담당,"경리 업무, 사무보조, 편성기획"
사무담당자,"기획, 비즈니스 기획, 사무 업무"
"사무보조,비서,스킬: 총무 관리, 사무 보조, 비서 업무, 산재 보험 처리, 퇴직 연금 처리","비서 업무, 사무 보조, 산재 보험 처리, 총무 관리, 퇴직 연금 처리"
"사무보조,비서,회계담당자","비서 업무, 사무보조, 회계 업무"
사무용 전자기기 설치·수리원(컴퓨터 제외),"복사기 수리, 사무기기 AS, 사무기기 설치, 사무기기 수리"
사무직,"기획, 마케팅, 전략, 조사, 홍보"
사무직원,"사은품관리, 유무선개통건정산"
사서,"도서대출, 도서반납, 도서수리, 자료정리"
사업기획/행정,"기획·전략, 총무·법무·사무, 회계·세무·재무"
사업체 구내식당 급식 조리사,"근로계약, 상용직 전환, 설거지, 식기세척, 식품 조리, 재료 준비, 조리"
사회복지 종사원,"보육, 복지사, 사랑플러스 운영, 사회복지, 사회복지 지원, 생활복지, 장애인 보호"
사회복지사,"공공, 다문화가족 자녀 교육활동비 지원, 방문요양, 복지, 사업진행, 사회복지, 생활복지, 입사지원현황통계, 자활사업 담당, 장애인 활동 지원, 행정업무"
사회복지사(사회복지시설),"노인복지, 노인복지시설 운영, 발달장애인 지원, 방문요양, 사회복지, 사회복지시설 관리, 사회복지시설 운영, 아동 돌봄, 장애인복지, 장애인복지시설 관리, 장애인복지시설 운영, 제공인력 업무, 주간활동 지도, 치료프로그램 관리"
"사회복지사(사회복지시설) 및 스킬: 생활지원, 사회복지시설 운영, 노인복지, 장애인복지","노인복지, 사회복지시설 운영, 생활지원, 장애인복지"
산업용 냉난방 설비 조작원,"공업용 냉동시설 관리, 냉난방 설비 조작, 냉동기계 조작"
산업용 보일러 설치·수리원,"산업용 보일러 관리, 산업용 보일러 설치, 산업용 보일러 수리, 산업용 보일러 운전"
상·하수도 처리장치 조작원,기계 분야 기술
"상품 입,출고 관리","상품 입고 관리, 상품 출고 관리"
상품MD,"기능성 화장품 MD, 유통관리, 자사브랜드 MD"
상품기획·MD,"MD, 관리, 단체방문 예약, 상품 기획, 상품기획, 영업"
상품기획자,"브랜드 매니지먼트, 상품 기획"
색조화장품 생산 오퍼레이터,"립스틱 생산, 색조화장품 검사, 색조화장품 생산, 제품 검사, 제품 생산, 파우더 생산, 화학제품 제조"
생산,"LASER 공정, PLC 기술 지원, 광학계 설계, 시퀀스 제어, 전기배선"
생산 관리자,"생산 관리, 품질 관리"
생산 및 판매 관리 기사,"생산 관리, 작업지도, 장애인 직업적응훈련, 판매 관리"
생산MD,"MD, 구매, 물류, 상품기획, 자재"
생산·공정·품질관리 관련 종사자,"공정 관리, 생산 관리, 스마트폰 부품 외관 검사, 품질 관리"
생산·공정관리자,"공정 관리, 반도체 생산, 생산 관리, 생산·공정 관리, 생산라인 관리, 품질 관리"
생산·품질 사무원,"견적 관리, 생산 관리, 생산 설비 운용, 품질 관리"
생산·품질 사무원 및 관리원(건설),공사 현장 품질 관리
생산·품질 사무원 및 관리원(그 외 분야),"관리원(그 외 분야), 농산물 저온저장, 사무 업무, 사무 지원, 생산 관리, 입고, 재고 관리, 출고, 출하 관리, 품질 관리"
생산·품질 사무원 및 관리원(기계·자동차·금속),"3차원 측정, 검사, 공정 검사, 금속 관리, 기계 관리, 사출, 생산 계획, 생산 공정 관리, 생산 관리, 생산 기술, 자동차 관리, 품질 공정 관리, 품질 관리, 프레스"
생산·품질 사무원 및 관리원(음식료품),"HACCP, 생산 관리, 식품 품질 관리, 품질 관리"
생산·품질 사무원 및 관리원(화학·섬유·의료),"생산 관리, 품질 관리, 품질 연구, 화학 물질 관리"
생산기술,생산기술
생산기술팀 검사담당자,생산 검사
생산직,"PCB, 검사, 녹용제조 생산, 열프레스기 작업, 제조, 품질"
생산직종사자,"생산 과정 파악, 생산 작업, 자재 관리, 폐기물 관리"
서비스 오픈멤버,서비스
"서비스,상품기획·MD,디자인,스킬: 촬영, 편집, 매장관리","매장관리, 촬영, 편집"
"서비스,영업·판매·무역",산업용마킹기 AS
서비스·상품기획·MD·고객상담 직무,"MD, 고객 상담, 상품 기획, 서비스 기획"
서비스직,서비스
선박 갑판원 및 관련 종사원,"갑판 작업, 관련 종사, 선박 갑판 관리, 선박 갑판 작업, 선박 관련 작업, 선박 관리, 선박 운항 지원, 선박 유지 보수, 안전 절차 준수, 항해 보조, 항해 지원"
설비 팀장,"기본설계, 기술 검토, 기술조사, 설비 이슈 대응, 예방 보전 계획 수립, 예산 기획, 외주 공사 관리, 진척 관리, 프로세스 정비"
섬유 제조기계 조작원,"권사기 조작, 방사 기계 조작, 방적 기계 조작, 섬유 생산, 솜 생산, 연사 기계 조작, 합사 기계 조작"
섬유·의복 분야 단순 종사원,"건조, 염가공, 염색"
성장 컨설팅 전문가,"경영기획, 구매관리, 법무, 전략기획, 총무, 컨설팅"
소믈리에·와인전문가,"서비스, 소믈리에·와인, 외식·식음료"
소방공학 기술자 및 연구원,소방안전 관리
소방시설·설비 시공 기술자,"소방기계 설치 및 정비, 소방설비 시공, 소방시설 시공, 소방시설·설비 시공, 소화기 설치, 화재감지설비 설치"
소형트럭운전원(4톤 미만),"소형트럭 운전, 화물차 운전"
송무직원,"법무, 사무, 총무"
쇼핑몰택배 준비원,"물류 작업, 창고 포장, 택배 준비"
수의 테크니션,수의료
수의사 보조원,"수의간호, 수의테크니션"
수지환경기술자 및 연구원,"기술진단, 수질 환경 기술, 수처리, 수처리기술, 수처리설비 설계, 유지관리"
수학 강사,"중등 수학 가르침, 초등 수학 가르침"
숙박시설 서비스원,"숙박시설 관리, 여인숙 관리, 콘도 서비스, 호텔 관리"
슈퍼바이저,서비스
스크린 인쇄기 조작원(실크스크린 포함),"스크린 인쇄기 조작, 실크스크린 인쇄"
스타트업 액셀러레이터,기획·전략
스포츠강사,트레이닝
승용차 운전원(자가용 운전원),"승용차 운전, 업무차량 운전, 임원차 운전, 차량 운전"
승합차 운전원,"송영차 운전, 승합차 운전"
시설 요양보호사,요양보호
시설 요양보호사(노인요양사),"노인야간보호, 노인요양, 노인주간보호, 실버시터, 실버시팅, 요양 보호, 요양보호"
시설관리자,"시설 관리, 현장 관리"
시설방송팀 직원,"방송 진행, 시설관리, 시설물 관리, 영상, 영상 장비 셋팅, 웨딩음향, 음향, 음향 장비 셋팅, 조명"
시술어시팀원,성형외과 시술 assist
시스템 소프트웨어 개발자(프로그래머),"Flutter 클라이언트 개발, 시스템 소프트웨어 개발, 애플리케이션 개발"
식품 분야 단순 종사원,"가공, 생산, 소분포장 가공, 수산물 가공, 수산물(연어) 가공, 식품 분야 작업, 포장"
식품가공 신선조리공정,"식품가공, 신선조리공정, 제품가공, 제품생산, 제품포장"
식품가공 작업자,식품가공
식품생산 보조원,"식품가공 생산 보조, 품질검사"
식품연구원,"공정 관리, 생산 관리, 식품 안전, 식품 연구"
실내디자이너,"감리, 건축, 매장관리, 법인영업, 서비스영업, 시공, 실내디자인, 영업관리, 영업지원, 인바운드상담, 제품영업, 현장관리, 현장보조"
실크인쇄기사,실크 인쇄
심리·언어치료사,"바우처 일지 관리, 부모상담, 언어재활"
심리상담 전문가,"상담프로그램 운영, 심리상담, 재활상담, 정신건강 심리상담"
써빙원(일반음식점),"K-BBQ 그릴, 음식점 서빙, 홀 써빙"
아파트 전기관리원,"전기기계설비 조작, 전기기능, 전기설비 관리, 전기시설 관리"
아파트·빌라 경비원,"경비원, 관리사무소 관리, 빌라 경비, 아파트 경비"
아파트전기관리원,"소방안전관리자1급 보유, 승강기안전관리자 보유, 전기산업기사 보유, 전기선임"
안경사,"안경 상담, 안경 제조"
안내데스크 매니저,"고객상담, 교육, 서비스, 영업, 판매"
안내데스크 직원,서비스
안내데스크·리셉셔니스트,"리셉션, 안내, 홍보"
안전순찰원,"안전감시, 안전관리, 안전순찰, 현장관리"
앱 프론트엔드(Ract) 개발자,React
약사,"의약품 교육, 의약품 조제, 조제, 한방약 사용"
